"","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI"
"ICT1  ->  ICT",0.258059941730212,0.258110799520385,0.0160357205975341,16.0928185397478,0.226015962715116,0.290844844244009
"ICT2  ->  ICT",0.249797513938248,0.249665339041196,0.0160903876883257,15.524642337828,0.215904136893247,0.279460892305743
"ICT3  ->  ICT",0.271954940602101,0.273032985688631,0.0183306027407641,14.8361155630371,0.242042286632146,0.310690959099921
"ICT4  ->  ICT",0.204082792051437,0.204305158948896,0.0297556067274838,6.85863319543524,0.149360219272685,0.262104602962388
"ICT5  ->  ICT",0.196909922154752,0.195507680726615,0.0261227956290288,7.53785792880209,0.140924527886319,0.242633432573014
"VcC1  ->  VcC",0.317814296918135,0.317533862952794,0.0230861581513873,13.7664437206949,0.274704739850302,0.366180274665383
"VcC2  ->  VcC",0.293046227811179,0.291941204024193,0.0194715123867832,15.0499982738933,0.254867957048846,0.33085350693492
"VcC3  ->  VcC",0.132261883776731,0.130712943268596,0.0270683197056562,4.88622438389087,0.0746088407800073,0.176684002342061
"VcC4  ->  VcC",0.292050702444881,0.292507265977494,0.0167315593741998,17.4550797037619,0.260085522783593,0.327065023645619
"VcC5  ->  VcC",0.169474904332186,0.171178481556425,0.0236938135177975,7.15270693782094,0.12298973703227,0.215017800591999
"VcC6  ->  VcC",0.115284227388774,0.113511511182932,0.0263294457316272,4.37852845684077,0.0595968664338862,0.160449922008969
"TRUST1  ->  TRUST",0.414868344596973,0.414305556526077,0.0164184529112793,25.2684188235521,0.383412575725042,0.446406183239967
"TRUST2  ->  TRUST",0.340221959493205,0.341936565563661,0.0245648231571645,13.8499657545459,0.296149599061884,0.392206237770454
"TRUST3  ->  TRUST",0.387188087392773,0.386182187955105,0.0188877752019765,20.499401504538,0.348222763497604,0.422077411549934
"COMMITMENT1  ->  COMMITMENT",0.292554401494392,0.293036714441319,0.0154869401394471,18.890394026204,0.265869066596751,0.32825477067182
"COMMITMENT2  ->  COMMITMENT",0.302249500227358,0.301700201160123,0.0151352947286614,19.9698456915407,0.273686946434575,0.334360829742229
"COMMITMENT3  ->  COMMITMENT",0.266734443421106,0.266977643935078,0.0137771964642775,19.360574853724,0.239983910543887,0.294576594985686
"COMMITMENT4  ->  COMMITMENT",0.28631690814195,0.286119922074902,0.0133861778100057,21.3889963367988,0.257547245105357,0.312633963453805
"ECOSAT1  ->  ECOSAT",0.400333018218797,0.401128061692678,0.0211576846928329,18.9214001451874,0.364554273840793,0.446194727260595
"ECOSAT2  ->  ECOSAT",0.398754775103574,0.399667277588736,0.0212450112481675,18.7693369726019,0.361456900697073,0.442428487265761
"ECOSAT3  ->  ECOSAT",0.392158649561704,0.390553427086229,0.0306256471026737,12.8049098276022,0.322857034175041,0.446040763823084
"SOCSAT1  ->  SOCSAT",0.268999752051798,0.26904442536234,0.0201983083195597,13.3179347396783,0.227145433102354,0.308473215337665
"SOCSAT2  ->  SOCSAT",0.427304704538823,0.427725417563239,0.0159215144271047,26.8381947267141,0.397045122561762,0.459977754022878
"SOCSAT3  ->  SOCSAT",0.443565231649494,0.443816015778531,0.0156322537131042,28.3750020816041,0.413604627888644,0.477466942491555
